experiment name	ranking_confidence	receptor	propeptide	peptide
TIKI2_HUMAN_GHRL_HUMAN_24_37_13982528712754417	0.8113800625359099	TIKI2_HUMAN	GHRL_HUMAN	GHRL_HUMAN_24_37
TIKI2_HUMAN_VTX-0085107_21_36_13982528712754417	0.8013808336376894	TIKI2_HUMAN	VTX-0085107	VTX-0085107_21_36
TIKI2_HUMAN_VTX-0616304_61_69_13982528712754417	0.7526707636522876	TIKI2_HUMAN	VTX-0616304	VTX-0616304_61_69
TIKI2_HUMAN_VTX-0315807_24_48_13982528712754417	0.8326330000182448	TIKI2_HUMAN	VTX-0315807	VTX-0315807_24_48
TIKI2_HUMAN_VTX-0013820_24_95_13982528712754417	0.7819215432028717	TIKI2_HUMAN	VTX-0013820	VTX-0013820_24_95
TIKI2_HUMAN_VTX-0864359_158_170_13982528712754417	0.8783409053416216	TIKI2_HUMAN	VTX-0864359	VTX-0864359_158_170
TIKI2_HUMAN_VTX-0850824_1_19_13982528712754417	0.7628506424775365	TIKI2_HUMAN	VTX-0850824	VTX-0850824_1_19
TIKI2_HUMAN_VTX-0015382_113_129_13982528712754417	0.7881471958407437	TIKI2_HUMAN	VTX-0015382	VTX-0015382_113_129
TIKI2_HUMAN_VTX-0865827_77_133_13982528712754417	0.7528785069299699	TIKI2_HUMAN	VTX-0865827	VTX-0865827_77_133
TIKI2_HUMAN_VTX-0869613_28_177_13982528712754417	0.7695683145548337	TIKI2_HUMAN	VTX-0869613	VTX-0869613_28_177
TIKI2_HUMAN_VTX-0006555_28_108_13982528712754417	0.7796455244823788	TIKI2_HUMAN	VTX-0006555	VTX-0006555_28_108
GGT3_HUMAN_CMGA_HUMAN_342_355_13982528712754417	0.8005155796165078	GGT3_HUMAN	CMGA_HUMAN	CMGA_HUMAN_342_355
GGT3_HUMAN_APOA2_HUMAN_22_44_13982528712754417	0.898450572582308	GGT3_HUMAN	APOA2_HUMAN	APOA2_HUMAN_22_44
LIRA5_HUMAN_VTX-0859974_20_28_13982528712754417	0.8074618164432669	LIRA5_HUMAN	VTX-0859974	VTX-0859974_20_28
KLRF2_HUMAN_VTX-0864359_158_170_13982528712754417	0.8414201878579649	KLRF2_HUMAN	VTX-0864359	VTX-0864359_158_170
KLRF2_HUMAN_VTX-0864359_156_170_13982528712754417	0.764436966903753	KLRF2_HUMAN	VTX-0864359	VTX-0864359_156_170
KLRF2_HUMAN_VTX-0021927_27_86_13982528712754417	0.8236054370933235	KLRF2_HUMAN	VTX-0021927	VTX-0021927_27_86
TGR3L_HUMAN_CMGA_HUMAN_342_355_13982528712754417	0.8422589763479857	TGR3L_HUMAN	CMGA_HUMAN	CMGA_HUMAN_342_355
TGR3L_HUMAN_SCG2_HUMAN_300_316_13982528712754417	0.83064649767158	TGR3L_HUMAN	SCG2_HUMAN	SCG2_HUMAN_300_316
TGR3L_HUMAN_NUCB1_HUMAN_164_176_13982528712754417	0.7974272348641578	TGR3L_HUMAN	NUCB1_HUMAN	NUCB1_HUMAN_164_176
