Entry,Entry Name,receptor_start,receptor_end
,GP152_HUMAN,1,0
,GPR62_HUMAN,1,0
,FSHR_HUMAN,1,0
,BRS3_HUMAN,1,0
,GPR6_HUMAN,1,0
,SSR3_HUMAN,1,0
,GP150_HUMAN,1,0
,GPR32_HUMAN,1,0
,HRH4_HUMAN,1,0
,NPY2R_HUMAN,1,0
,NPY6R_HUMAN,1,0
,GPR61_HUMAN,1,0
,LSHR_HUMAN,1,0
,GPR87_HUMAN,1,0
,TAAR9_HUMAN,1,0
,QRFPR_HUMAN,1,0
,GPR20_HUMAN,1,0
,GP149_HUMAN,1,0
,FZD1_HUMAN,1,0
,FFAR1_HUMAN,1,0
,NPSR1_HUMAN,1,0
,5HT1D_HUMAN,1,0
,GNRHR_HUMAN,1,0
,NPY1R_HUMAN,1,0
,GPR25_HUMAN,1,0
,GP141_HUMAN,1,0
,NK2R_HUMAN,1,0
,EDNRB_HUMAN,1,0
,G37L1_HUMAN,1,0
,GPR85_HUMAN,1,0
,TAAR2_HUMAN,1,0
,TAAR8_HUMAN,1,0
,MC4R_HUMAN,1,0
,SSR4_HUMAN,1,0
,GLR_HUMAN,1,0
,GLP1R_HUMAN,1,0
,MC3R_HUMAN,1,0
,NTR1_HUMAN,1,0
,PTH1R_HUMAN,1,0
,RXFP2_HUMAN,1,0
,GALR3_HUMAN,1,0
,GPR63_HUMAN,1,0
,GP151_HUMAN,1,0
,GPR15_HUMAN,1,0
,PRLHR_HUMAN,1,0
,OX1R_HUMAN,1,0
,NMUR1_HUMAN,1,0
,MTR1L_HUMAN,1,0
,AA2BR_HUMAN,1,0
,V2R_HUMAN,1,0
,MCHR2_HUMAN,1,0
,GPR26_HUMAN,1,0
,BKRB2_HUMAN,1,0
,OXYR_HUMAN,1,0
,CALCR_HUMAN,1,0
,CCR9_HUMAN,1,0
,OPRK_HUMAN,1,0
,PAR1_HUMAN,1,0
,TSHR_HUMAN,1,0
,NPFF2_HUMAN,1,0
,RL3R2_HUMAN,1,0
,CXCR5_HUMAN,1,0
,GPR82_HUMAN,1,0
,PSYR_HUMAN,1,0
,XCR1_HUMAN,1,0
,KISSR_HUMAN,1,0
,GP160_HUMAN,1,0
,LGR5_HUMAN,1,0
,PE2R4_HUMAN,1,0
,OX2R_HUMAN,1,0
,AA3R_HUMAN,1,0
,GHSR_HUMAN,1,0
,CXCR3_HUMAN,1,0
,VIPR2_HUMAN,1,0
,ACKR3_HUMAN,1,0
,GPR33_HUMAN,1,0
,GPR37_HUMAN,1,0
,GP142_HUMAN,1,0
,AA2AR_HUMAN,1,0
,S1PR4_HUMAN,1,0
,P2Y13_HUMAN,1,0
,AGTR2_HUMAN,1,0
,VIPR1_HUMAN,1,0
,MAS1L_HUMAN,1,0
,CNR2_HUMAN,1,0
,RL3R1_HUMAN,1,0
,GPR78_HUMAN,1,0
,CCR3_HUMAN,1,0
,CCR7_HUMAN,1,0
,TRFR_HUMAN,1,0
,GPR75_HUMAN,1,0
,GP174_HUMAN,1,0
,MRGX1_HUMAN,1,0
,P2Y10_HUMAN,1,0
,GPR34_HUMAN,1,0
,5HT1B_HUMAN,1,0
,SSR5_HUMAN,1,0
,P2RY8_HUMAN,1,0
,AGRG1_HUMAN,1,0
,GPR21_HUMAN,1,0
,GPR17_HUMAN,1,0
,GPR4_HUMAN,1,0
,TAAR6_HUMAN,1,0
,SCTR_HUMAN,1,0
,CCKAR_HUMAN,1,0
,HCAR2_HUMAN,1,0
,CCR10_HUMAN,1,0
,OGR1_HUMAN,1,0
,CNR1_HUMAN,1,0
,CRFR1_HUMAN,1,0
,ADRB3_HUMAN,1,0
,CCR6_HUMAN,1,0
,CCR2_HUMAN,1,0
,GP101_HUMAN,1,0
,NPFF1_HUMAN,1,0
,MRGX2_HUMAN,1,0
,GP135_HUMAN,1,0
,GPER1_HUMAN,1,0
,GHRHR_HUMAN,1,0
,FPR1_HUMAN,1,0
,GPR12_HUMAN,1,0
,NPY4R_HUMAN,1,0
,CCR4_HUMAN,1,0
,ACKR2_HUMAN,1,0
,NMBR_HUMAN,1,0
,GPR19_HUMAN,1,0
,GP161_HUMAN,1,0
,GP146_HUMAN,1,0
,MSHR_HUMAN,1,0
,ACM3_HUMAN,1,0
,V1BR_HUMAN,1,0
,GP173_HUMAN,1,0
,PKR2_HUMAN,1,0
,GP148_HUMAN,1,0
,PAR3_HUMAN,1,0
,PKR1_HUMAN,1,0
,NK3R_HUMAN,1,0
,GLP2R_HUMAN,1,0
,CX3C1_HUMAN,1,0
,UR2R_HUMAN,1,0
,C5AR1_HUMAN,1,0
,GPR45_HUMAN,1,0
,OPRX_HUMAN,1,0
,MRGRD_HUMAN,1,0
,LGR6_HUMAN,1,0
,PAR4_HUMAN,1,0
,SUCR1_HUMAN,1,0
,PTH2R_HUMAN,1,0
,FPR2_HUMAN,1,0
,PAR2_HUMAN,1,0
,V1AR_HUMAN,1,0
,ACKR1_HUMAN,1,0
,CCR8_HUMAN,1,0
,EDNRA_HUMAN,1,0
,GPR22_HUMAN,1,0
,MRGRG_HUMAN,1,0
,GP107_HUMAN,1,0
,FFAR2_HUMAN,1,0
,NPY5R_HUMAN,1,0
,MRGRE_HUMAN,1,0
,CRFR2_HUMAN,1,0
,MC5R_HUMAN,1,0
,MTLR_HUMAN,1,0
,GP171_HUMAN,1,0
,MRGRF_HUMAN,1,0
,HCAR3_HUMAN,1,0
,P2RY6_HUMAN,1,0
,GPR83_HUMAN,1,0
,NPY42_HUMAN,1,0
,C5AR2_HUMAN,1,0
,SSR2_HUMAN,1,0
,GPR31_HUMAN,1,0
,NK1R_HUMAN,1,0
,CALRL_HUMAN,1,0
,AA1R_HUMAN,1,0
,FPR3_HUMAN,1,0
,GPR88_HUMAN,1,0
,OPRD_HUMAN,1,0
,GP119_HUMAN,1,0
,GPR35_HUMAN,1,0
,TAAR5_HUMAN,1,0
,CML2_HUMAN,1,0
,GPR27_HUMAN,1,0
,GALR2_HUMAN,1,0
,LPAR4_HUMAN,1,0
,C3AR_HUMAN,1,0
,GPR52_HUMAN,1,0
,ACTHR_HUMAN,1,0
,GP183_HUMAN,1,0
,TAAR3_HUMAN,1,0
,GP176_HUMAN,1,0
,CXCR1_HUMAN,1,0
,MRGX4_HUMAN,1,0
,GPR39_HUMAN,1,0
,APJ_HUMAN,1,0
,NTR2_HUMAN,1,0
,GPR84_HUMAN,1,0
,CCRL2_HUMAN,1,0
,PACR_HUMAN,1,0
,CCR1_HUMAN,1,0
,GP162_HUMAN,1,0
,CCR5_HUMAN,1,0
,MCHR1_HUMAN,1,0
,CML1_HUMAN,1,0
,ADRB2_HUMAN,1,0
,MAS_HUMAN,1,0
,CXCR2_HUMAN,1,0
,GP153_HUMAN,1,0
,FFAR3_HUMAN,1,0
,FZD2_HUMAN,1,0
,GIPR_HUMAN,1,0
,HCAR1_HUMAN,1,0
,GP139_HUMAN,1,0
,GASR_HUMAN,1,0
,LGR4_HUMAN,1,0
,GALR1_HUMAN,1,0
,NPBW1_HUMAN,1,0
,ADRB1_HUMAN,1,0
,CXCR4_HUMAN,1,0
,GP182_HUMAN,1,0
,FZD6_HUMAN,1,0
,ADA1A_HUMAN,1,0
,NPBW2_HUMAN,1,0
,GP132_HUMAN,1,0
,AGTR1_HUMAN,1,0
,ACKR4_HUMAN,1,0
,SSR1_HUMAN,1,0
,MRGX3_HUMAN,1,0
,GRPR_HUMAN,1,0
,GPR3_HUMAN,1,0
,CXCR6_HUMAN,1,0
,BKRB1_HUMAN,1,0
,OPRM_HUMAN,1,0
,FFAR4_HUMAN,1,0
,NMUR2_HUMAN,1,0
