Entry,Entry Name,receptor_start,receptor_end
B6A8C7,TARM1_HUMAN,17.0,236.0
O00533,NCHL1_HUMAN,25.0,1082.0
O00548,DLL1_HUMAN,18.0,545.0
O14931,NCTR3_HUMAN,19.0,135.0
O43508,TNF12_HUMAN,43.0,249.0
O60487,MPZL2_HUMAN,27.0,154.0
O75022,LIRB3_HUMAN,24.0,443.0
O95727,CRTAM_HUMAN,18.0,287.0
P01375,TNFA_HUMAN,57.0,233.0
P06729,CD2_HUMAN,25.0,209.0
P08138,TNR16_HUMAN,29.0,250.0
P08887,IL6RA_HUMAN,20.0,365.0
P10586,PTPRF_HUMAN,30.0,1263.0
P10747,CD28_HUMAN,19.0,152.0
P13591,NCAM1_HUMAN,20.0,718.0
P13688,CEAM1_HUMAN,35.0,428.0
P15151,PVR_HUMAN,21.0,343.0
P15260,INGR1_HUMAN,18.0,245.0
P16410,CTLA4_HUMAN,36.0,161.0
P19256,LFA3_HUMAN,29.0,215.0
P19438,TNR1A_HUMAN,30.0,211.0
P20333,TNR1B_HUMAN,23.0,257.0
P21854,CD72_HUMAN,117.0,359.0
P23468,PTPRD_HUMAN,21.0,1265.0
P24071,FCAR_HUMAN,22.0,227.0
P26842,CD27_HUMAN,20.0,191.0
P28908,TNR8_HUMAN,19.0,385.0
P33681,CD80_HUMAN,35.0,242.0
P40189,IL6RB_HUMAN,23.0,619.0
P40200,TACT_HUMAN,22.0,519.0
P41217,OX2G_HUMAN,31.0,232.0
P41273,TNFL9_HUMAN,50.0,254.0
P42081,CD86_HUMAN,24.0,247.0
P43121,MUC18_HUMAN,24.0,559.0
P43489,TNR4_HUMAN,29.0,214.0
P48357,LEPR_HUMAN,22.0,839.0
P57087,JAM2_HUMAN,29.0,238.0
P78324,SHPS1_HUMAN,31.0,373.0
Q13332,PTPRS_HUMAN,30.0,1282.0
Q15116,PDCD1_HUMAN,24.0,170.0
Q15223,NECT1_HUMAN,31.0,355.0
Q15303,ERBB4_HUMAN,26.0,651.0
Q15762,CD226_HUMAN,19.0,254.0
Q495A1,TIGIT_HUMAN,22.0,141.0
Q68D85,NR3L1_HUMAN,25.0,262.0
Q6PJG9,LRFN4_HUMAN,17.0,518.0
Q6UXG3,CLM9_HUMAN,19.0,247.0
Q86YT9,JAML_HUMAN,20.0,275.0
Q8N126,CADM3_HUMAN,25.0,330.0
Q8N149,LIRA2_HUMAN,24.0,449.0
Q8N3J6,CADM2_HUMAN,25.0,367.0
Q8TD46,MO2R1_HUMAN,29.0,265.0
Q92823,NRCAM_HUMAN,25.0,1167.0
Q92838,EDA_HUMAN,63.0,391.0
Q96BF3,TMIG2_HUMAN,23.0,150.0
Q96D42,HAVR1_HUMAN,21.0,295.0
Q96H15,TIMD4_HUMAN,25.0,314.0
Q96NI6,LRFN5_HUMAN,18.0,529.0
Q9BQ51,PD1L2_HUMAN,20.0,220.0
Q9BY67,CADM1_HUMAN,45.0,374.0
Q9NP84,TNR12_HUMAN,28.0,80.0
Q9NPH3,IL1AP_HUMAN,21.0,367.0
Q9NQS3,NECT3_HUMAN,58.0,404.0
Q9NR61,DLL4_HUMAN,27.0,529.0
Q9NT99,LRC4B_HUMAN,36.0,576.0
Q9NZN1,IRPL1_HUMAN,19.0,357.0
Q9NZQ7,PD1L1_HUMAN,19.0,238.0
Q9P1W8,SIRPG_HUMAN,29.0,360.0
Q9UMF0,ICAM5_HUMAN,32.0,835.0
Q9UNE0,EDAR_HUMAN,27.0,187.0
Q9UNG2,TNF18_HUMAN,49.0,177.0
Q9Y5U5,TNR18_HUMAN,26.0,162.0
Q9Y6W8,ICOS_HUMAN,21.0,140.0
Q6UWV2,MPZL3_HUMAN,32.0,158.0
Q8N109,KI2LA_HUMAN,22.0,238.0
Q9P244,LRFN1_HUMAN,32.0,536.0
