Entry,Entry Name,receptor_start,receptor_end
,4F2_HUMAN,1,0
,A1BG_HUMAN,1,0
,AAAT_HUMAN,1,0
,AAK1_HUMAN,1,0
,AAMP_HUMAN,1,0
,AB17A_HUMAN,1,0
,AB17B_HUMAN,1,0
,ABCA5_HUMAN,1,0
,ABCB7_HUMAN,1,0
,ABCD3_HUMAN,1,0
,ABCE1_HUMAN,1,0
,ABD12_HUMAN,1,0
,ABH15_HUMAN,1,0
,ABHD2_HUMAN,1,0
,ABHD3_HUMAN,1,0
,ABHDD_HUMAN,1,0
,ABHEA_HUMAN,1,0
,ABL1_HUMAN,1,0
,ACATN_HUMAN,1,0
,ACBD5_HUMAN,1,0
,ACHA_HUMAN,1,0
,ACHB_HUMAN,1,0
,ACK1_HUMAN,1,0
,ACSL1_HUMAN,1,0
,ACSL5_HUMAN,1,0
,ADA17_HUMAN,1,0
,ADA19_HUMAN,1,0
,ADA28_HUMAN,1,0
,ADA2_HUMAN,1,0
,ADAS_HUMAN,1,0
,ADA_HUMAN,1,0
,ADCK2_HUMAN,1,0
,ADCY7_HUMAN,1,0
,ADML_HUMAN,1,0
,ADPGK_HUMAN,1,0
,ADRB2_HUMAN,1,0
,ADT1_HUMAN,1,0
,ADT2_HUMAN,1,0
,ADT3_HUMAN,1,0
,AGGF1_HUMAN,1,0
,AGRE5_HUMAN,1,0
,AGRG5_HUMAN,1,0
,AHR_HUMAN,1,0
,AIFM1_HUMAN,1,0
,AIG1_HUMAN,1,0
,AK1A1_HUMAN,1,0
,AKAP1_HUMAN,1,0
,AL3A2_HUMAN,1,0
,AL5AP_HUMAN,1,0
,ALEX_HUMAN,1,0
,ALG11_HUMAN,1,0
,ALG12_HUMAN,1,0
,ALG14_HUMAN,1,0
,ALG2_HUMAN,1,0
,ALG3_HUMAN,1,0
,ALG5_HUMAN,1,0
,ALG8_HUMAN,1,0
,ALG9_HUMAN,1,0
,ALR_HUMAN,1,0
,AMFR_HUMAN,1,0
,AMNLS_HUMAN,1,0
,AMPB_HUMAN,1,0
,ANKH_HUMAN,1,0
,ANO9_HUMAN,1,0
,ANR46_HUMAN,1,0
,ANXA1_HUMAN,1,0
,ANXA2_HUMAN,1,0
,ANXA5_HUMAN,1,0
,AP2A2_HUMAN,1,0
,AP5S1_HUMAN,1,0
,APH1A_HUMAN,1,0
,APLD1_HUMAN,1,0
,APLP2_HUMAN,1,0
,APMAP_HUMAN,1,0
,APRIO_HUMAN,1,0
,AQP3_HUMAN,1,0
,AR6P1_HUMAN,1,0
,AR6P6_HUMAN,1,0
,ARAID_HUMAN,1,0
,AREG_HUMAN,1,0
,ARHG1_HUMAN,1,0
,ARHG2_HUMAN,1,0
,ARMX3_HUMAN,1,0
,ARMX6_HUMAN,1,0
,ARV1_HUMAN,1,0
,ASAH1_HUMAN,1,0
,ASM_HUMAN,1,0
,ASPH2_HUMAN,1,0
,ASPH_HUMAN,1,0
,ASTER_HUMAN,1,0
,ASTRA_HUMAN,1,0
,AT11B_HUMAN,1,0
,AT11C_HUMAN,1,0
,AT131_HUMAN,1,0
,AT132_HUMAN,1,0
,AT1A1_HUMAN,1,0
,AT1B1_HUMAN,1,0
,AT1B3_HUMAN,1,0
,AT2A2_HUMAN,1,0
,AT2A3_HUMAN,1,0
,AT2B1_HUMAN,1,0
,AT2B4_HUMAN,1,0
,AT5G1_HUMAN,1,0
,AT5G3_HUMAN,1,0
,AT8A1_HUMAN,1,0
,AT8B2_HUMAN,1,0
,ATF6A_HUMAN,1,0
,ATLA2_HUMAN,1,0
,ATP5H_HUMAN,1,0
,ATP5I_HUMAN,1,0
,ATP5J_HUMAN,1,0
,ATP5L_HUMAN,1,0
,ATP5S_HUMAN,1,0
,ATP7A_HUMAN,1,0
,ATPA_HUMAN,1,0
,ATPD_HUMAN,1,0
,ATPK_HUMAN,1,0
,ATRAP_HUMAN,1,0
,ATRN_HUMAN,1,0
,AUP1_HUMAN,1,0
,AX2R_HUMAN,1,0
,B2CL1_HUMAN,1,0
,B2MG_HUMAN,1,0
,B3GA3_HUMAN,1,0
,B3GN2_HUMAN,1,0
,B4GT1_HUMAN,1,0
,B4GT3_HUMAN,1,0
,B4GT5_HUMAN,1,0
,B4GT7_HUMAN,1,0
,BAG6_HUMAN,1,0
,BAK_HUMAN,1,0
,BAP29_HUMAN,1,0
,BASI_HUMAN,1,0
